Telescope,Element?,mzp_U,mzp_u,mzp_B,mzp_g,mzp_V,mzp_r,mzp_R,mzp_i,mzp_I,mzp_z,mzp_J,mzp_H,mzp_K,mzp_HK,mzp_T,mzp_vr,mzp_RISE,mzp_SPRAT_Red,mzp_SPRAT_Blue,mzp_600RI+19,mzp_G750M,mzp_GR01,mzp_Band1,mzp_Band2,mzp_Band3,Res,Lambda_Range,Dispersion,Overhead,Theta_see,Theta_DF,Omega_pix,Gain,Half_Well,texp_min
PROMPT-8_Dark,N,NaN,NaN,,NaN,21.3,NaN,21.52,NaN,20.43,NaN,NaN,NaN,NaN,NaN,20.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,200,NaN,8,1.8,NaN,0.542,1.9,62225,0.03
PROMPT-8_Grey,N,NaN,NaN,,NaN,21.3,NaN,21.52,NaN,20.43,NaN,NaN,NaN,NaN,NaN,20.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,200,NaN,8,2.2,NaN,0.542,1.9,62225,0.03
PROMPT-8_Bright,N,NaN,NaN,,NaN,21.3,NaN,21.52,NaN,20.43,NaN,NaN,NaN,NaN,NaN,20.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,200,NaN,8,2.5,NaN,0.542,1.9,62225,0.03
TRT-TNO,N,NaN,NaN,,NaN,22.34,NaN,22.56,NaN,21.47,NaN,NaN,NaN,NaN,NaN,21.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,200,NaN,3,2,NaN,1.9,1,32000,NaN
Gao Mei Gu,N,NaN,NaN,,NaN,21.14,NaN,21.36,NaN,20.27,NaN,NaN,NaN,NaN,NaN,20.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,200,NaN,6,2,NaN,0.375,1,30000,NaN
TNT ULTRASPEC,N,NaN,22.16,NaN,25.28,NaN,25.25,NaN,24.55,NaN,23.46,NaN,NaN,NaN,NaN,24.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,200,NaN,0,0.9,4,0.204,0.8,40000,2
VLT FORS2 (200kHz),N,NaN,NaN,NaN,NaN,27.95,NaN,28.13,NaN,27.23,NaN,NaN,NaN,NaN,NaN,27.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,200,NaN,31,0.69,NaN,0.0625,1.25,40200,NaN
VLT FORS2 (200kHz) 600RI+19,N,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.68,NaN,NaN,NaN,NaN,NaN,1000,3330,1.66,31,0.69,NaN,0.0625,1.25,40200,NaN
VLT FORS2 (100kHz),N,NaN,NaN,NaN,NaN,27.95,NaN,28.13,NaN,27.23,NaN,NaN,NaN,NaN,NaN,27.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,200,NaN,41,0.69,NaN,0.0625,0.7,22500,NaN
VLT HAWK-I,N,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.5,17.1,16.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,200,NaN,9.6,0.69,NaN,0.0113,1.855,41740,1.6762
VLT KMOS_HK,Y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1985,9580,4.89,6,0.69,NaN,0.04,2.08,10000,2.47
LT RISE,N,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,200,NaN,0,1.1,NaN,1.156,2.3,46000,NaN
LT SPRAT Red,Y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,350,4000,4.6,10,1.1,NaN,0.194,2.45,10700,NaN
LT SPRAT Blue,Y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.2,NaN,NaN,NaN,NaN,NaN,NaN,350,4000,4.6,10,1.1,NaN,0.194,2.45,10700,NaN
ROPNM,N,NaN,NaN,,NaN,20.92,NaN,21.2,NaN,20.25,NaN,NaN,NaN,NaN,NaN,20.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,200,NaN,6,2.5,NaN,2.285,1,30000,NaN
NARIT SBO,N,NaN,NaN,,NaN,20.92,NaN,21.2,NaN,20.25,NaN,NaN,NaN,NaN,NaN,20.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,200,NaN,17,1.5,NaN,0.36,1,30000,NaN
